Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,98,589,,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,100,134,,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,98,217,,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,98,128,2 - Data submitted were based on a sample of cases/patients. 3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,98,242,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,99,622,,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,99,137,,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,100,213,,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,98,124,2 - Data submitted were based on a sample of cases/patients. 3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,99,250,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,AMI_7a,Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Attack or Chest Pain,AMI_7a,Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Attack or Chest Pain,AMI_7a,Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Attack or Chest Pain,AMI_7a,Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Attack or Chest Pain,AMI_7a,Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,91,47,,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,96,56,,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,93,67,,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,98,52,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,96,55,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Failure,HF_1,Discharge instructions,91,540,,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Failure,HF_1,Discharge instructions,96,45,3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Failure,HF_1,Discharge instructions,96,298,,10/1/13,9/30/14
